WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
702,491.0493,-5.00,5.00,788.0333,-5.00,5.00,
703,482.6316,-5.00,5.00,764.7504,-5.00,5.00,
704,475.2090,-5.00,5.00,752.5738,-5.00,5.00,
705,459.1382,-5.00,5.00,740.1606,-5.00,5.00,
706,452.1638,-5.00,5.00,728.0322,-5.00,5.00,
707,446.6213,-5.00,5.00,709.7103,-5.00,5.00,
708,438.7481,-5.00,5.00,703.6769,-5.00,5.00,
709,436.4306,-5.00,5.00,698.6149,-5.00,5.00,
710,435.6998,-5.00,5.00,695.8345,-5.00,5.00,
711,435.4209,-5.00,5.00,696.3896,-5.00,5.00,
712,437.6936,-5.00,5.00,698.8236,-5.00,5.00,
713,439.1808,-5.00,5.00,700.9016,-5.00,5.00,
714,440.5877,-5.00,5.00,705.7166,-5.00,5.00,
715,441.1903,-5.00,5.00,706.0201,-5.00,5.00,
716,441.0300,-5.00,5.00,705.9016,-5.00,5.00,
717,439.5558,-5.00,5.00,704.0658,-5.00,5.00,
718,436.7576,-5.00,5.00,694.4964,-5.00,5.00,
719,428.3508,-5.00,5.00,688.0757,-5.00,5.00,
720,423.5074,-5.00,5.00,679.2662,-5.00,5.00,
721,418.1782,-5.00,5.00,670.8200,-5.00,5.00,
722,413.3544,-5.00,5.00,656.0368,-5.00,5.00,
723,404.5146,-5.00,5.00,648.8705,-5.00,5.00,
724,400.5537,-5.00,5.00,641.8367,-5.00,5.00,
725,395.5526,-5.00,5.00,628.0454,-5.00,5.00,
726,390.8475,-5.00,5.00,619.9963,-5.00,5.00,
727,380.4697,-5.00,5.00,611.7125,-5.00,5.00,
728,374.6125,-5.00,5.00,603.6623,-5.00,5.00,
729,368.6540,-5.00,5.00,584.8661,-5.00,5.00,
730,356.5041,-5.00,5.00,576.4689,-5.00,5.00,
731,350.5348,-5.00,5.00,566.6431,-5.00,5.00,
732,345.9524,-5.00,5.00,558.7214,-5.00,5.00,
733,341.3301,-5.00,5.00,542.9160,-5.00,5.00,
734,330.9576,-5.00,5.00,534.8380,-5.00,5.00,
735,326.1858,-5.00,5.00,527.4114,-5.00,5.00,
736,323.2776,-5.00,5.00,520.9231,-5.00,5.00,
