WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
825,230.9368,-5.00,5.00,192.2224,-5.00,5.00,
826,228.6387,-5.00,5.00,190.4469,-5.00,5.00,
827,223.7765,-5.00,5.00,188.8427,-5.00,5.00,
828,221.1430,-5.00,5.00,184.8916,-5.00,5.00,
829,218.6456,-5.00,5.00,184.1880,-5.00,5.00,
830,215.8204,-5.00,5.00,183.5916,-5.00,5.00,
831,209.4943,-5.00,5.00,181.9909,-5.00,5.00,
832,206.7496,-5.00,5.00,175.6779,-5.00,5.00,
833,204.3589,-5.00,5.00,173.5884,-5.00,5.00,
834,200.0963,-5.00,5.00,171.8926,-5.00,5.00,
835,197.5613,-5.00,5.00,168.4402,-5.00,5.00,
836,195.2540,-5.00,5.00,165.5186,-5.00,5.00,
837,192.8533,-5.00,5.00,162.3269,-5.00,5.00,
838,188.6978,-5.00,5.00,160.5754,-5.00,5.00,
839,186.5195,-5.00,5.00,157.7491,-5.00,5.00,
840,184.0763,-5.00,5.00,155.1891,-5.00,5.00,
841,179.2955,-5.00,5.00,151.3306,-5.00,5.00,
842,176.9364,-5.00,5.00,145.3533,-5.00,5.00,
843,174.1573,-5.00,5.00,143.3365,-5.00,5.00,
844,171.8638,-5.00,5.00,141.4963,-5.00,5.00,
845,167.4280,-5.00,5.00,138.3268,-5.00,5.00,
